Time,Calibrated X,Calibrated Y,Calibrated Z
31.96063,-0.4806311,2.087856,0.4972901
19.17265,-0.4806311,2.087856,0.4972901
8.197309,-0.4806311,2.087856,0.4972901
6.48428,-0.4806311,2.087856,0.4972901
7.489469,-0.4806311,2.087856,0.4972901
7.489469,-0.4806311,2.087856,0.4972901
7.489469,-0.4806311,2.087856,0.4972901
28.9462,-0.4806311,2.087856,0.4972901
24.84672,-0.4806311,2.087856,0.4972901
13.56942,-0.4806311,2.087856,0.4972901
43.21956,-0.4806311,2.087856,0.4972901
24.7428,-0.4806311,2.087856,0.4972901
15.99241,-0.4806311,2.087856,0.4972901
10.38355,-0.4806311,2.087856,0.4972901
9.772864,-0.3725682,1.843939,0.3005195
6.641605,-0.3725682,1.843939,0.3005195
15.98147,-0.3725682,1.843939,0.3005195
19.26759,-0.3725682,1.843939,0.3005195
39.65585,-0.3725682,1.843939,0.3005195
39.65585,-0.3725682,1.843939,0.3005195
23.02599,-0.3725682,1.843939,0.3005195
22.04796,-0.3725682,1.843939,0.3005195
7.652468,-0.0151137,2.108012,0.2610434
23.73134,-0.0151137,2.108012,0.2610434
7.586873,-0.0151137,2.108012,0.2610434
17.03722,-0.0151137,2.108012,0.2610434
16.74322,-0.0151137,2.108012,0.2610434
14.64402,-0.0151137,2.108012,0.2610434
13.97678,-0.0151137,2.108012,0.2610434
8.864599,-0.0151137,2.108012,0.2610434
19.55538,-0.0151137,2.108012,0.2610434
15.98485,-0.0151137,2.108012,0.2610434
8.065745,-0.0151137,2.108012,0.2610434
17.55154,-0.1091089,1.467027,0.323467
10.32217,-0.1091089,1.467027,0.323467
25.76195,-0.1091089,1.467027,0.323467
9.42494,-0.1091089,1.467027,0.323467
7.687866,-0.1091089,1.467027,0.323467
10.51472,-0.1091089,1.467027,0.323467
6.352885,-0.1091089,1.467027,0.323467
5.644327,-0.1091089,1.467027,0.323467
11.07754,-0.1091089,1.467027,0.323467
19.718,-0.1091089,1.467027,0.323467
19.718,-0.1091089,1.467027,0.323467
